0,1443650402,-4.4657183,48.38249
1,1443650403,-4.4965715,48.38242
2,1443650404,-4.644325,48.092247
3,1443650405,-4.4851084,48.38132
4,1443650406,-4.4954414,48.38366
5,1443650408,-4.347825,48.117958
6,1443650409,-4.7691517,47.987152
7,1443650411,-4.4719133,48.16634
8,1443650411,-4.782632,48.005634
0,1443650413,-4.46572,48.382507
3,1443650415,-4.4850984,48.381313
2,1443650416,-4.644965,48.09218
5,1443650417,-4.348457,48.117886
9,1443650419,-4.4480133,48.157574
6,1443650419,-4.7691116,47.98662
8,1443650420,-4.7825317,48.005116
7,1443650421,-4.4714084,48.1664
0,1443650423,-4.4657216,48.38252
1,1443650423,-4.4965734,48.382423
3,1443650424,-4.4850965,48.38132
2,1443650425,-4.645487,48.09213
4,1443650427,-4.49544,48.383663
5,1443650428,-4.3492484,48.117874
6,1443650429,-4.7690268,47.986107
9,1443650430,-4.4473267,48.15763
7,1443650431,-4.471053,48.166428
8,1443650431,-4.7824483,48.0046
0,1443650433,-4.4657283,48.382526
3,1443650433,-4.4850736,48.38132
2,1443650434,-4.64607,48.092106
5,1443650438,-4.3499684,48.117874
6,1443650438,-4.768925,47.985645
10,1443650438,-4.48347,48.11528
9,1443650439,-4.4467,48.157658
7,1443650441,-4.4708233,48.16644
0,1443650442,-4.465737,48.382534
3,1443650444,-4.485085,48.381332
1,1443650444,-4.49658,48.382435
2,1443650445,-4.6467066,48.092075
4,1443650447,-4.4954367,48.38368
6,1443650448,-4.7687883,47.98514
9,1443650450,-4.4460735,48.15768
8,1443650450,-4.782232,48.00355
7,1443650452,-4.4706483,48.166454
0,1443650452,-4.4657383,48.382534
1,1443650452,-4.496585,48.382435
3,1443650454,-4.485085,48.381336
2,1443650455,-4.6472917,48.09204
4,1443650456,-4.4954367,48.383686
10,1443650458,-4.4822764,48.115402
6,1443650459,-4.768687,47.98463
8,1443650460,-4.7821317,48.003067
9,1443650460,-4.4454517,48.157696
7,1443650460,-4.470548,48.166447
2,1443650464,-4.647815,48.092
3,1443650466,-4.485093,48.38134
4,1443650466,-4.4954367,48.383686
6,1443650469,-4.7685933,47.98407
8,1443650469,-4.782015,48.00255
9,1443650470,-4.4448285,48.157722
7,1443650471,-4.4704785,48.166447
0,1443650473,-4.4658,48.382607
1,1443650474,-4.4965935,48.382427
3,1443650474,-4.485095,48.38134
2,1443650476,-4.6484685,48.091953
5,1443650477,-4.352793,48.11796
9,1443650479,-4.444267,48.15777
6,1443650479,-4.768493,47.983547
8,1443650480,-4.781915,48.001984
7,1443650481,-4.47043,48.16643
1,1443650483,-4.4965816,48.38244
3,1443650484,-4.485093,48.38134
2,1443650485,-4.648995,48.091915
4,1443650487,-4.495435,48.38368
6,1443650489,-4.7684083,47.983006
9,1443650490,-4.4435816,48.15782
7,1443650491,-4.4703984,48.16641
8,1443650491,-4.781815,48.001484
0,1443650493,-4.46582,48.382607
3,1443650493,-4.4850883,48.381348
1,1443650494,-4.4965734,48.382446
2,1443650495,-4.6495733,48.091827
11,1443650498,-4.326842,48.09865
5,1443650498,-4.354328,48.11792
6,1443650498,-4.768328,47.98254
9,1443650499,-4.443015,48.15784
7,1443650500,-4.4703865,48.166393
8,1443650501,-4.781698,48.000965
0,1443650502,-4.4658165,48.38258
3,1443650505,-4.485085,48.38135
